Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167840257	ThroughputTx: 3021.7 kbps
Destination-ip: 167838465	ThroughputTx: 2968.32 kbps
Destination-ip: 167838721	ThroughputTx: 2993.45 kbps
