
Flow-id: 1	ThroughputRx: 1928.2 kbps
Flow-id: 2	ThroughputRx: 1928.26 kbps
Flow-id: 3	ThroughputRx: 4853.87 kbps
Flow-id: 4	ThroughputRx: 4810.95 kbps
Flow-id: 5	ThroughputRx: 2047.5 kbps
