Destination-ip: 167840769	ThroughputRx: 6128.48 kbps	ThroughputRxPps: 0.745195 kpps
Destination-ip: 167840513	ThroughputRx: 6061.86 kbps	ThroughputRxPps: 0.737094 kpps
Destination-ip: 167838465	ThroughputRx: 1261.2 kbps	ThroughputRxPps: 0.153356 kpps
Destination-ip: 167838721	ThroughputRx: 1249.82 kbps	ThroughputRxPps: 0.151972 kpps
Destination-ip: 167840257	ThroughputRx: 1270.28 kbps	ThroughputRxPps: 0.15446 kpps
