Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167838465	ThroughputTx: 481.824 kbps
Destination-ip: 167838721	ThroughputTx: 506.342 kbps
Destination-ip: 167840257	ThroughputTx: 489.828 kbps
