
Flow-id: 1	ThroughputRx: 2583.26 kbps
Flow-id: 2	ThroughputRx: 2410.44 kbps
Flow-id: 3	ThroughputRx: 2140.69 kbps
Flow-id: 4	ThroughputRx: 1383.26 kbps
Flow-id: 5	ThroughputRx: 1213.14 kbps
