Destination-ip: 167840769	meandelay: 0.0103557 sec	meanJitter: 0.00124631 sec
Destination-ip: 167838465	meandelay: 0.0103095 sec	meanJitter: 0.000510143 sec
Destination-ip: 167838721	meandelay: 0.0103204 sec	meanJitter: 0.000507519 sec
Destination-ip: 167840513	meandelay: 0.010206 sec	meanJitter: 0.00127461 sec
Destination-ip: 167840257	meandelay: 0.0103095 sec	meanJitter: 0.000507922 sec
Destination-ip: All	meanTotaldelay: 0.0103112 sec	meanTotalJitter: 0.000557309 sec
