
Flow-id: 1	ThroughputRx: 4658.08 kbps
Flow-id: 2	ThroughputRx: 3218.45 kbps
Flow-id: 3	ThroughputRx: 1706.28 kbps
Flow-id: 4	ThroughputRx: 3211.74 kbps
Flow-id: 5	ThroughputRx: 3179.79 kbps
