Flow-id: 1	ThroughputRx: 4585.44 kbps
Flow-id: 2	ThroughputRx: 4485.96 kbps
Flow-id: 3	ThroughputRx: 2952.32 kbps
Flow-id: 4	ThroughputRx: 2950.3 kbps
Flow-id: 5	ThroughputRx: 997.273 kbps

