
Flow-id: 1	ThroughputRx: 4131.42 kbps
Flow-id: 2	ThroughputRx: 3605.31 kbps
Flow-id: 3	ThroughputRx: 3460.02 kbps
Flow-id: 4	ThroughputRx: 3159.09 kbps
Flow-id: 5	ThroughputRx: 1212.94 kbps
