Destination-ip: 167840257	ThroughputTx: 6527.5 kbps
Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167838465	ThroughputTx: 6454.49 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167838721	ThroughputTx: 6484.05 kbps
