Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167840257	ThroughputTx: 2002.14 kbps
Destination-ip: 167838465	ThroughputTx: 1972.38 kbps
Destination-ip: 167838721	ThroughputTx: 1989.88 kbps
