Destination-ip: 167840769	meandelay: 0.54855 sec	meanJitter: 0.000318694 sec
Destination-ip: 167838465	meandelay: 0.548101 sec	meanJitter: 0.000369131 sec
Destination-ip: 167840513	meandelay: 0.547448 sec	meanJitter: 0.000318482 sec
Destination-ip: 167838721	meandelay: 0.547572 sec	meanJitter: 0.000367888 sec
Destination-ip: 167840257	meandelay: 0.547783 sec	meanJitter: 0.000376192 sec
Destination-ip: All	meanTotaldelay: 0.547919 sec	meanTotalJitter: 0.000342362 sec
