Destination-ip: 167838465	loss: 0.538835
Destination-ip: 167840769	loss: 0.550311
Destination-ip: 167838721	loss: 0.547843
Destination-ip: 167840257	loss: 0.544018
Destination-ip: 167840513	loss: 0.542535
