
Flow-id: 1	ThroughputRx: 491.754 kbps
Flow-id: 2	ThroughputRx: 486.922 kbps
Flow-id: 3	ThroughputRx: 4884.35 kbps
Flow-id: 4	ThroughputRx: 4841.16 kbps
Flow-id: 5	ThroughputRx: 2060.3 kbps
