
Flow-id: 1	ThroughputRx: 3532.9 kbps
Flow-id: 2	ThroughputRx: 5822.56 kbps
Flow-id: 3	ThroughputRx: 1748.71 kbps
Flow-id: 4	ThroughputRx: 2437.49 kbps
Flow-id: 5	ThroughputRx: 2433.01 kbps
