Destination-ip: 167840257	ThroughputRx: 3302.48 kbps	ThroughputRxPps: 0.401567 kpps
Destination-ip: 167838465	ThroughputRx: 3217.76 kbps	ThroughputRxPps: 0.391264 kpps
Destination-ip: 167840769	ThroughputRx: 3102.29 kbps	ThroughputRxPps: 0.377224 kpps
Destination-ip: 167840513	ThroughputRx: 3048.03 kbps	ThroughputRxPps: 0.370626 kpps
Destination-ip: 167838721	ThroughputRx: 3303.67 kbps	ThroughputRxPps: 0.40171 kpps
