Destination-ip: 167840769	meandelay: 0.535257 sec	meanJitter: 0.00037528 sec
Destination-ip: 167840513	meandelay: 0.53467 sec	meanJitter: 0.000375004 sec
Destination-ip: 167838465	meandelay: 0.535446 sec	meanJitter: 0.000573477 sec
Destination-ip: 167838721	meandelay: 0.533462 sec	meanJitter: 0.000562709 sec
Destination-ip: 167840257	meandelay: 0.53486 sec	meanJitter: 0.000574543 sec
Destination-ip: All	meanTotaldelay: 0.534839 sec	meanTotalJitter: 0.000441144 sec
