1p	1.0028
1p	1.00311
1p	1.0032
1p	1.00328
1p	1.00336
1p	1.00363
1p	1.0038
1p	1.00388
1p	1.00397
1p	1.00411
1p	1.00454
1p	1.00495
1p	1.00523
1p	1.00539
1p	1.00548
1p	1.00582
1p	1.0059
1p	1.00641
1p	1.00658
1p	1.00685
1p	1.007
1p	1.00717
1p	1.00727
1p	1.00736
1p	1.0075
1p	1.00765
1p	1.00776
1p	1.00798
1p	1.00823
1p	1.00857
1p	1.00896
1p	1.00906
1p	1.00933
1p	1.00944
1p	1.00955
1p	1.00963
1p	1.00981
1p	1.01003
1p	1.01011
1p	1.01039
1p	1.01051
1p	1.01069
1p	1.01098
1p	1.01106
1p	1.01114
1p	1.01123
1p	1.01159
1p	1.01212
1p	1.0126
1p	1.01276
1p	1.01325
1p	1.014
1p	1.01408
1p	1.01417
1p	1.01448
1p	1.01463
1p	1.01471
1p	1.01479
1p	1.01514
1p	1.01527
1p	1.01535
1p	1.01562
1p	1.01579
1p	1.01636
1p	1.01654
1p	1.01666
1p	1.01695
1p	1.01703
1p	1.01711
1p	1.01719
1p	1.01752
1p	1.01768
1p	1.01797
1p	1.01817
1p	1.01854
1p	1.01862
1p	1.01902
1p	1.01947
1p	1.01967
1p	1.01975
1p	1.01983
1p	1.01995
1p	1.02019
1p	1.02027
1p	1.02036
1p	1.02088
1p	1.02096
1p	1.02136
1p	1.02144
1p	1.02179
1p	1.02187
1p	1.02214
1p	1.02233
1p	1.02241
1p	1.02263
1p	1.02298
1p	1.02317
1p	1.02346
1p	1.02354
1p	1.02366
1p	1.02413
1p	1.02421
1p	1.02445
1p	1.02466
1p	1.0248
1p	1.02494
1p	1.02528
1p	1.02548
1p	1.02579
1p	1.02607
1p	1.02616
1p	1.02637
1p	1.02646
1p	1.02655
1p	1.02663
1p	1.02691
1p	1.02703
1p	1.02739
1p	1.02747
1p	1.02755
1p	1.02793
1p	1.02802
1p	1.0281
1p	1.02818
1p	1.02826
1p	1.02843
1p	1.02852
1p	1.02914
1p	1.02963
1p	1.02985
1p	1.03011
1p	1.03034
1p	1.03043
1p	1.03059
1p	1.03068
1p	1.03102
1p	1.0311
1p	1.03119
1p	1.03132
1p	1.03155
1p	1.03164
1p	1.0318
1p	1.03221
1p	1.03262
1p	1.03271
1p	1.03295
1p	1.03311
1p	1.03319
1p	1.03341
1p	1.03354
1p	1.0339
1p	1.03441
1p	1.03472
1p	1.0348
1p	1.035
1p	1.0352
1p	1.0353
1p	1.03538
1p	1.03578
1p	1.0359
1p	1.03598
1p	1.03638
1p	1.03657
1p	1.03696
1p	1.03745
1p	1.03774
1p	1.03808
1p	1.03833
1p	1.03856
1p	1.03884
0p	1.03885
1p	1.03898
2p	1.03936
5p	1.03988
6p	1.04039
7p	1.04091
10p	1.04142
12p	1.04194
13p	1.04245
14p	1.04297
16p	1.04348
19p	1.044
20p	1.04451
22p	1.04503
22p	1.04554
23p	1.04606
25p	1.04657
28p	1.04709
28p	1.0476
29p	1.04812
32p	1.04863
34p	1.04915
36p	1.04966
35p	1.05018
36p	1.05069
38p	1.05121
39p	1.05172
40p	1.05224
40p	1.05275
41p	1.05327
44p	1.05378
44p	1.0543
46p	1.05481
48p	1.05533
51p	1.05584
54p	1.05636
54p	1.05687
55p	1.05739
56p	1.0579
58p	1.05842
60p	1.05893
60p	1.05945
62p	1.05996
64p	1.06048
65p	1.06099
66p	1.06151
66p	1.06202
68p	1.06254
71p	1.06305
74p	1.06357
74p	1.06408
73p	1.0646
73p	1.06511
74p	1.06563
74p	1.06614
74p	1.06666
74p	1.06717
74p	1.06769
76p	1.0682
78p	1.06872
79p	1.06923
81p	1.06975
83p	1.07026
84p	1.07078
85p	1.07129
87p	1.07181
88p	1.07232
89p	1.07284
91p	1.07335
92p	1.07387
94p	1.07438
96p	1.0749
98p	1.07541
98p	1.07593
99p	1.07644
100p	1.07696
102p	1.07747
103p	1.07799
103p	1.0785
105p	1.07902
105p	1.07953
106p	1.08005
109p	1.08056
111p	1.08108
112p	1.08159
114p	1.08211
115p	1.08262
116p	1.08314
117p	1.08365
119p	1.08417
120p	1.08468
122p	1.0852
124p	1.08571
128p	1.08623
128p	1.08674
130p	1.08726
134p	1.08777
135p	1.08829
136p	1.0888
137p	1.08932
140p	1.08983
143p	1.09035
143p	1.09086
144p	1.09138
146p	1.09189
149p	1.09241
149p	1.09292
150p	1.09344
153p	1.09395
154p	1.09447
157p	1.09498
158p	1.0955
159p	1.09601
161p	1.09653
162p	1.09704
164p	1.09756
166p	1.09807
167p	1.09859
168p	1.0991
171p	1.09962
172p	1.10013
173p	1.10065
174p	1.10116
175p	1.10168
178p	1.10219
180p	1.10271
181p	1.10322
182p	1.10374
183p	1.10425
184p	1.10477
184p	1.10528
