
Flow-id: 1	ThroughputTx: 6971.03 kbps
Flow-id: 2	ThroughputTx: 6925.96 kbps
Flow-id: 3	ThroughputTx: 998.542 kbps
Flow-id: 4	ThroughputTx: 998.542 kbps
Flow-id: 5	ThroughputTx: 998.542 kbps
