Flow-id: 1	ThroughputTx: 4591.55 kbps
Flow-id: 2	ThroughputTx: 4491.75 kbps
Flow-id: 3	ThroughputTx: 3493.69 kbps
Flow-id: 4	ThroughputTx: 2994.66 kbps
Flow-id: 5	ThroughputTx: 998.542 kbps
