Destination-ip: 167840769	ThroughputRx: 6087.9 kbps	ThroughputRxPps: 0.74026 kpps
Destination-ip: 167840513	ThroughputRx: 6027.52 kbps	ThroughputRxPps: 0.732919 kpps
Destination-ip: 167840257	ThroughputRx: 1292.52 kbps	ThroughputRxPps: 0.157165 kpps
Destination-ip: 167838465	ThroughputRx: 1282.91 kbps	ThroughputRxPps: 0.155996 kpps
Destination-ip: 167838721	ThroughputRx: 1277.59 kbps	ThroughputRxPps: 0.155349 kpps
