
Flow-id: 1	ThroughputRx: 4591.43 kbps
Flow-id: 2	ThroughputRx: 4491.86 kbps
Flow-id: 3	ThroughputRx: 585.44 kbps
Flow-id: 4	ThroughputRx: 461.202 kbps
Flow-id: 5	ThroughputRx: 998.578 kbps
