Destination-ip: 167840769	meandelay: 0.0270889 sec	meanJitter: 0.000529551 sec
Destination-ip: 167840513	meandelay: 0.0271028 sec	meanJitter: 0.000532146 sec
Destination-ip: 167838465	meandelay: 0.0274502 sec	meanJitter: 0.00055552 sec
Destination-ip: 167838721	meandelay: 0.0274302 sec	meanJitter: 0.000559928 sec
Destination-ip: 167840257	meandelay: 0.0274322 sec	meanJitter: 0.000549361 sec
Destination-ip: All	meanTotaldelay: 0.0272868 sec	meanTotalJitter: 0.000544299 sec
