
Flow-id: 1	ThroughputRx: 2810.13 kbps
Flow-id: 2	ThroughputRx: 974.456 kbps
Flow-id: 3	ThroughputRx: 742.673 kbps
Flow-id: 4	ThroughputRx: 2696.59 kbps
Flow-id: 5	ThroughputRx: 2507.06 kbps
