Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167838465	ThroughputTx: 998.632 kbps
Destination-ip: 167838721	ThroughputTx: 1011.68 kbps
Destination-ip: 167840257	ThroughputTx: 994.134 kbps
