1p	1.00295
1p	1.00318
1p	1.00333
1p	1.00342
1p	1.00358
1p	1.00385
1p	1.00395
1p	1.00403
1p	1.00417
1p	1.00454
1p	1.00462
1p	1.00523
1p	1.00556
1p	1.00582
1p	1.0061
1p	1.00619
1p	1.00641
1p	1.00658
1p	1.00669
1p	1.007
1p	1.00717
1p	1.00765
1p	1.00787
1p	1.00823
1p	1.00839
1p	1.00847
1p	1.00866
1p	1.00896
1p	1.00905
1p	1.00925
1p	1.00944
1p	1.00955
1p	1.00996
1p	1.01005
1p	1.01039
1p	1.01055
1p	1.01088
1p	1.01098
1p	1.01106
1p	1.01115
1p	1.01147
1p	1.01159
1p	1.01174
1p	1.01231
1p	1.01254
1p	1.0129
1p	1.01313
1p	1.01404
1p	1.01412
1p	1.01427
1p	1.01463
1p	1.01471
1p	1.01486
1p	1.01506
1p	1.01564
1p	1.01636
1p	1.01656
1p	1.01695
1p	1.01715
1p	1.01751
1p	1.01794
1p	1.01802
1p	1.0181
1p	1.01818
1p	1.01852
1p	1.01861
1p	1.01873
1p	1.01964
1p	1.01972
1p	1.0198
1p	1.02023
1p	1.02031
1p	1.02039
1p	1.02048
1p	1.02083
1p	1.02103
1p	1.02162
1p	1.02179
1p	1.02207
1p	1.02238
1p	1.02266
1p	1.0232
1p	1.02349
1p	1.02357
1p	1.02365
1p	1.02379
1p	1.02407
1p	1.02416
1p	1.02424
1p	1.02491
1p	1.02499
1p	1.02548
1p	1.02557
1p	1.02565
1p	1.02579
1p	1.02607
1p	1.02616
1p	1.02637
1p	1.02646
1p	1.02667
1p	1.02703
1p	1.02739
1p	1.02747
1p	1.0277
1p	1.02793
1p	1.02802
1p	1.0281
1p	1.02829
1p	1.02852
1p	1.02891
1p	1.02925
1p	1.0295
1p	1.02967
1p	1.02984
1p	1.03026
1p	1.03043
1p	1.03102
1p	1.03128
1p	1.03162
1p	1.0317
1p	1.03179
1p	1.03187
1p	1.03221
1p	1.03229
1p	1.03238
1p	1.03291
1p	1.03299
1p	1.03308
1p	1.03349
1p	1.03357
1p	1.03365
1p	1.03374
1p	1.03408
1p	1.03441
1p	1.03472
1p	1.03494
1p	1.03503
1p	1.03531
1p	1.03553
1p	1.03581
1p	1.03598
1p	1.03612
1p	1.03639
1p	1.03657
1p	1.03671
1p	1.03679
1p	1.03728
1p	1.03737
1p	1.03759
1p	1.03774
1p	1.03787
1p	1.03817
1p	1.03833
1p	1.03898
1p	1.03917
1p	1.03926
1p	1.03941
1p	1.03957
1p	1.03976
1p	1.03985
1p	1.03999
1p	1.04013
1p	1.04072
1p	1.04081
1p	1.04089
1p	1.04133
1p	1.04143
1p	1.04172
1p	1.04203
1p	1.04231
1p	1.04242
1p	1.0425
1p	1.04262
1p	1.04301
1p	1.04309
1p	1.04317
1p	1.04374
1p	1.04431
1p	1.04444
1p	1.04473
1p	1.04489
1p	1.04503
0p	1.04518
1p	1.04532
0p	1.0457
1p	1.0458
2p	1.04621
3p	1.04673
5p	1.04724
7p	1.04776
8p	1.04827
8p	1.04879
9p	1.0493
11p	1.04982
11p	1.05033
12p	1.05085
13p	1.05136
12p	1.05188
13p	1.05239
16p	1.05291
17p	1.05342
18p	1.05394
19p	1.05445
18p	1.05497
18p	1.05548
21p	1.056
22p	1.05651
23p	1.05703
