Destination-ip: 167840769	meandelay: 0.00934458 sec	meanJitter: 0.000407168 sec
Destination-ip: 167840513	meandelay: 0.00934471 sec	meanJitter: 0.000411546 sec
Destination-ip: 167838465	meandelay: 0.00939611 sec	meanJitter: 0.00119965 sec
Destination-ip: 167838721	meandelay: 0.00936309 sec	meanJitter: 0.00117534 sec
Destination-ip: 167840257	meandelay: 0.00933147 sec	meanJitter: 0.00118611 sec
Destination-ip: All	meanTotaldelay: 0.00934644 sec	meanTotalJitter: 0.000484046 sec
