Destination-ip: 167840769	ThroughputRx: 6166.2 kbps	ThroughputRxPps: 0.749781 kpps
Destination-ip: 167840513	ThroughputRx: 6124.17 kbps	ThroughputRxPps: 0.74467 kpps
Destination-ip: 167838465	ThroughputRx: 998.673 kbps	ThroughputRxPps: 0.121434 kpps
Destination-ip: 167838721	ThroughputRx: 1011.65 kbps	ThroughputRxPps: 0.123012 kpps
Destination-ip: 167840257	ThroughputRx: 994.164 kbps	ThroughputRxPps: 0.120886 kpps
