Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167838465	ThroughputTx: 3434.24 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167838721	ThroughputTx: 3455.14 kbps
Destination-ip: 167840257	ThroughputTx: 3518.04 kbps
