Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167838465	ThroughputTx: 5405.59 kbps
Destination-ip: 167838721	ThroughputTx: 5446.4 kbps
Destination-ip: 167840257	ThroughputTx: 5519.97 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
