
loss: 0.00739898	0	0	0	0	0	0	0	0	0	0	0	
loss: 0.00350404	loss: 0.00456621	0	0	0	0	0	0	0	0	0	0	
loss: 0.146893	loss: 0.00215983	loss: 0.472965	0	0	0	0	0	0	0	0	0	
loss: 0.244584	loss: 0.00282486	loss: 0.501617	loss: 0.00456621	0	0	0	0	0	0	0	0	
loss: 0.315047	loss: 0.00210084	loss: 0.532309	loss: 0.00215983	loss: 0.00913242	0	0	0	0	0	0	0	
loss: 0.372299	loss: 0.00167224	loss: 0.563083	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	0	0	0	0	0	
loss: 0.421935	loss: 0.00138889	loss: 0.594148	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	0	0	0	0	
loss: 0.466978	loss: 0.00118765	loss: 0.625184	loss: 0.00167224	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	0	0	0	
loss: 0.50886	loss: 0.00103734	loss: 0.656352	loss: 0.00138889	loss: 0.00167224	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	0	0	
loss: 0.548332	loss: 0.000460405	loss: 0.687148	loss: 0.00118765	loss: 0.00138889	loss: 0.00167224	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	0	
loss: 0.585044	loss: 0.000413907	loss: 0.716488	loss: 0.00103734	loss: 0.00118765	loss: 0.00138889	loss: 0.00167224	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	0	
loss: 0.618148	loss: 0.000751597	loss: 0.742953	loss: 0.000460405	loss: 0.00103734	loss: 0.00118765	loss: 0.00138889	loss: 0.00167224	loss: 0.00210084	loss: 0.00282486	loss: 0.00215983	loss: 0.00456621	
loss: 0.727344	loss: 0	loss: 0.824276	loss: 0	loss: 0	loss: 0	loss: 0	loss: 0	loss: 0	loss: 0	loss: 0	loss: 0	
