Destination-ip: 167840769	ThroughputRx: 6940.01 kbps	ThroughputRxPps: 0.843873 kpps
Destination-ip: 167840513	ThroughputRx: 6891.64 kbps	ThroughputRxPps: 0.837992 kpps
Destination-ip: 167838465	ThroughputRx: 481.737 kbps	ThroughputRxPps: 0.058577 kpps
Destination-ip: 167838721	ThroughputRx: 506.188 kbps	ThroughputRxPps: 0.0615501 kpps
Destination-ip: 167840257	ThroughputRx: 489.689 kbps	ThroughputRxPps: 0.0595439 kpps
