
Flow-id: 1	ThroughputRx: 4434.55 kbps
Flow-id: 2	ThroughputRx: 4330.94 kbps
Flow-id: 3	ThroughputRx: 3359.55 kbps
Flow-id: 4	ThroughputRx: 2880.63 kbps
Flow-id: 5	ThroughputRx: 965.651 kbps
