Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167838465	ThroughputTx: 2457.91 kbps
Destination-ip: 167838721	ThroughputTx: 2457.8 kbps
Destination-ip: 167840257	ThroughputTx: 2504.7 kbps
