Destination-ip: 167840769	meandelay: 0.457383 sec	meanJitter: 0.00137673 sec
Destination-ip: 167838465	meandelay: 0.543979 sec	meanJitter: 0.000564708 sec
Destination-ip: 167838721	meandelay: 0.543249 sec	meanJitter: 0.000553785 sec
Destination-ip: 167840257	meandelay: 0.543617 sec	meanJitter: 0.000558209 sec
Destination-ip: 167840513	meandelay: 0.457149 sec	meanJitter: 0.00136575 sec
Destination-ip: All	meanTotaldelay: 0.536835 sec	meanTotalJitter: 0.000622684 sec
