Destination-ip: 167840769	meandelay: 0.10197 sec	meanJitter: 0.00142688 sec
Destination-ip: 167838465	meandelay: 0.104954 sec	meanJitter: 0.000557789 sec
Destination-ip: 167838721	meandelay: 0.104916 sec	meanJitter: 0.00054817 sec
Destination-ip: 167840257	meandelay: 0.104911 sec	meanJitter: 0.000552989 sec
Destination-ip: 167840513	meandelay: 0.102247 sec	meanJitter: 0.00140705 sec
Destination-ip: All	meanTotaldelay: 0.104743 sec	meanTotalJitter: 0.000609351 sec
