
Flow-id: 1	ThroughputRx: 740.595 kbps
Flow-id: 2	ThroughputRx: 270.057 kbps
Flow-id: 3	ThroughputRx: 299.893 kbps
Flow-id: 4	ThroughputRx: 200.091 kbps
Flow-id: 5	ThroughputRx: 100.293 kbps
