Destination-ip: 167840769	meandelay: 0.0350615 sec	meanJitter: 0.00049028 sec
Destination-ip: 167840257	meandelay: 0.0346817 sec	meanJitter: 0.000601095 sec
Destination-ip: 167838465	meandelay: 0.0346346 sec	meanJitter: 0.000607997 sec
Destination-ip: 167840513	meandelay: 0.0347818 sec	meanJitter: 0.000490642 sec
Destination-ip: 167838721	meandelay: 0.0347556 sec	meanJitter: 0.000603098 sec
Destination-ip: All	meanTotaldelay: 0.0348036 sec	meanTotalJitter: 0.000548827 sec
