bwresv 2 500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.0537716
bwresv 2 1000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.117924
bwresv 2 1500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.2
bwresv 2 2000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.292318
bwresv 2 2500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.392111
bwresv 2 3000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.496747
bwresv 2 3500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.602699
bwresv 2 4000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.704014
bwresv 2 4500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.780969
bwresv 2 5000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.83218
bwresv 2 5500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.865813
bwresv 2 6000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.886644
bwresv 2 6500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.900138
bwresv 2 7000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.908858
bwresv 2 7500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.915017
bwresv 2 8000 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.918478
bwresv 2 8500 Destination-ip: 167840769	ThroughputTx: 6990.93 kbps 0.920761
