
Flow-id: 1	ThroughputRx: 4443.46 kbps
Flow-id: 2	ThroughputRx: 4347.04 kbps
Flow-id: 3	ThroughputRx: 3326.86 kbps
Flow-id: 4	ThroughputRx: 2887.5 kbps
Flow-id: 5	ThroughputRx: 966.38 kbps
