Destination-ip: 167838465	loss: 0.237506
Destination-ip: 167840769	loss: 0.900138
Destination-ip: 167838721	loss: 0.247342
Destination-ip: 167840257	loss: 0.252252
Destination-ip: 167840513	loss: 0.899464
