bwresv	320	500	0.0100205	15408.9
bwresv	320	1000	0.265145	15970.9
bwresv	320	1500	0.309207	15971.9
bwresv	320	2000	0.318439	15972.8
bwresv	320	2500	0.322641	15971.9
bwresv	320	3000	0.325343	15971.7
bwresv	320	3500	0.327102	15972.5
bwresv	320	4000	0.328819	15972.4
bwresv	320	4500	0.331353	15972
bwresv	320	5000	0.376096	15971.3
bwresv	320	5500	0.536835	15972.1
bwresv	320	6000	0.547342	15971.1
bwresv	320	6500	0.551244	15971.7
bwresv	320	7000	0.55323	15972.2
bwresv	320	7500	0.554472	15971.5
bwresv	320	8000	0.555139	15971.7
bwresv	320	8500	0.555687	15971.6
