Destination-ip: 167840769	ThroughputRx: 4284.38 kbps	ThroughputRxPps: 0.520961 kpps
Destination-ip: 167840513	ThroughputRx: 4282.75 kbps	ThroughputRxPps: 0.520762 kpps
Destination-ip: 167838465	ThroughputRx: 2452.86 kbps	ThroughputRxPps: 0.298256 kpps
Destination-ip: 167838721	ThroughputRx: 2452.56 kbps	ThroughputRxPps: 0.29822 kpps
Destination-ip: 167840257	ThroughputRx: 2499.4 kbps	ThroughputRxPps: 0.303915 kpps
