bwresv	10	500	0.00930766	15356.2
bwresv	10	1000	0.013799	15947.8
bwresv	10	1500	0.0156013	15972
bwresv	10	2000	0.0162757	15972.9
bwresv	10	2500	0.0166352	15972
bwresv	10	3000	0.0170191	15971.8
bwresv	10	3500	0.0173798	15972.6
bwresv	10	4000	0.018116	15972.5
bwresv	10	4500	0.0199437	15971.8
bwresv	10	5000	0.025132	15971.3
bwresv	10	5500	0.0297393	15972.1
bwresv	10	6000	0.0316977	15971.8
bwresv	10	6500	0.032478	15971.6
bwresv	10	7000	0.0329089	15972.2
bwresv	10	7500	0.0331868	15971.5
bwresv	10	8000	0.033794	15971.7
bwresv	10	8500	0.0343792	15971.5
