Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167840257	ThroughputTx: 992.674 kbps
Destination-ip: 167838465	ThroughputTx: 997.784 kbps
Destination-ip: 167838721	ThroughputTx: 996.066 kbps
