
Flow-id: 1	ThroughputRx: 4250.24 kbps
Flow-id: 2	ThroughputRx: 4250.27 kbps
Flow-id: 3	ThroughputRx: 3486.18 kbps
Flow-id: 4	ThroughputRx: 2988.27 kbps
Flow-id: 5	ThroughputRx: 996.398 kbps
