Destination-ip: 167840769	meandelay: 0.0433264 sec	meanJitter: 0.000644668 sec
Destination-ip: 167838465	meandelay: 0.0433188 sec	meanJitter: 0.000613865 sec
Destination-ip: 167840513	meandelay: 0.0433059 sec	meanJitter: 0.000629656 sec
Destination-ip: 167838721	meandelay: 0.0433036 sec	meanJitter: 0.000595481 sec
Destination-ip: 167840257	meandelay: 0.0432975 sec	meanJitter: 0.00060038 sec
Destination-ip: All	meanTotaldelay: 0.0433105 sec	meanTotalJitter: 0.000616812 sec
