bwresv	3	500	0.00785648	14964.9
bwresv	3	1000	0.00839372	15591.5
bwresv	3	1500	0.0088365	15844
bwresv	3	2000	0.00922985	15935.6
bwresv	3	2500	0.00943428	15954.5
bwresv	3	3000	0.00974165	15968.4
bwresv	3	3500	0.0101511	15971.1
bwresv	3	4000	0.0108699	15972.5
bwresv	3	4500	0.011879	15972.1
bwresv	3	5000	0.0128641	15971.2
bwresv	3	5500	0.0135996	15972.2
bwresv	3	6000	0.0142748	15971.8
bwresv	3	6500	0.014655	15971.5
bwresv	3	7000	0.0149787	15971.7
bwresv	3	7500	0.0152168	15971.1
bwresv	3	8000	0.0158007	15971.2
bwresv	3	8500	0.016389	15971
