Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840257	ThroughputTx: 5003.66 kbps
Destination-ip: 167838465	ThroughputTx: 4967.89 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167838721	ThroughputTx: 4982.58 kbps
