Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167838465	ThroughputTx: 4905.94 kbps
Destination-ip: 167838721	ThroughputTx: 4948.19 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167840257	ThroughputTx: 5026.06 kbps
