Destination-ip: 167840769	ThroughputTx: 6990.93 kbps
Destination-ip: 167840513	ThroughputTx: 6944.39 kbps
Destination-ip: 167838465	ThroughputTx: 2962.5 kbps
Destination-ip: 167838721	ThroughputTx: 2968.36 kbps
Destination-ip: 167840257	ThroughputTx: 3008.12 kbps
