Destination-ip: 167840257	meandelay: 0.0408229 sec	meanJitter: 0.000992503 sec
Destination-ip: 167838465	meandelay: 0.0403838 sec	meanJitter: 0.00101251 sec
Destination-ip: 167840769	meandelay: 0.0408365 sec	meanJitter: 0.001201 sec
Destination-ip: 167840513	meandelay: 0.0404831 sec	meanJitter: 0.00118746 sec
Destination-ip: 167838721	meandelay: 0.0403884 sec	meanJitter: 0.00100958 sec
Destination-ip: All	meanTotaldelay: 0.0405785 sec	meanTotalJitter: 0.0010723 sec
