Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167840257	ThroughputTx: 4005.74 kbps
Destination-ip: 167838465	ThroughputTx: 3978.55 kbps
Destination-ip: 167838721	ThroughputTx: 3985.44 kbps
