Destination-ip: 167840769	ThroughputTx: 7056.39 kbps
Destination-ip: 167840513	ThroughputTx: 6993.27 kbps
Destination-ip: 167840257	ThroughputTx: 3510.46 kbps
Destination-ip: 167838465	ThroughputTx: 3484.89 kbps
Destination-ip: 167838721	ThroughputTx: 3499.06 kbps
