bwresv	160	500	0.0100205	15408.9
bwresv	160	1000	0.150451	15970.9
bwresv	160	1500	0.163476	15971.9
bwresv	160	2000	0.166447	15972.9
bwresv	160	2500	0.167843	15971.9
bwresv	160	3000	0.168825	15971.7
bwresv	160	3500	0.169529	15972.5
bwresv	160	4000	0.170496	15972.5
bwresv	160	4500	0.172507	15972.1
bwresv	160	5000	0.217256	15971.3
bwresv	160	5500	0.389086	15972.1
bwresv	160	6000	0.401198	15971.1
bwresv	160	6500	0.405708	15971.7
bwresv	160	7000	0.40798	15972.2
bwresv	160	7500	0.409364	15971.5
bwresv	160	8000	0.410682	15971.7
bwresv	160	8500	0.411766	15971.5
