stresv	500	0.00671562	2490.82
stresv	1000	0.00674579	4017.46
stresv	1500	0.00677103	5496.48
stresv	2000	0.00679534	6977.26
stresv	2500	0.00682925	8434.21
stresv	3000	0.00689365	9951.83
stresv	3500	0.0069875	11420.5
stresv	4000	0.00718992	12927
stresv	4500	0.00780874	14408.1
stresv	5000	0.0103112	15584.2
stresv	5500	0.0164056	15950.2
stresv	6000	0.0292203	15971.5
stresv	6500	0.0318118	15971.6
stresv	7000	0.031532	15973
stresv	7500	0.0326764	15971.7
stresv	8000	0.0323918	15971.4
stresv	8500	0.0322912	15972.1
